,importance
cat_name_encoded,0.4423250847323742
prep_days,0.07413785384558377
has_video,0.067178412423439
cat_parent_encoded,0.06500152408469013
log_goal,0.056510052973843844
duration_days,0.053839048540165614
goal_per_day,0.04737706669914321
log_goal_vs_cat_median,0.04068017376896775
name_length,0.023003647798285246
blurb_length,0.015188639329899478
blurb_word_count,0.015051981296823195
goal_is_round,0.013508159619924893
launched_month,0.009700401794874693
launched_dayofweek,0.00913751581513238
name_number,0.007112717003011807
country_GB,0.0042268279240547995
country_IT,0.00342953707242477
blurb_has_want,0.0031995412992448955
is_usd,0.0026595030989090365
country_US,0.002649061532939337
blurb_has_com,0.0018833231025248503
country_HK,0.0018552540021581133
blurb_has_enamel,0.001813807631089622
blurb_has_pi,0.0016837344453199054
blurb_has_featuring,0.0015497311869213045
name_has_enamel,0.0014589875083706755
country_Other,0.001453806658968877
name_has_enamel_pin,0.0013427925043392594
blurb_has_business,0.0013003048946609757
country_MX,0.0010784284301314834
blurb_has_able,0.0010068040969864103
blurb_has_start,0.0009833403422708515
country_CA,0.0009514406394279029
name_has_com,0.0008607359581962889
blurb_has_pin,0.0008511048814205393
country_ES,0.0008277175247112999
blurb_has_edition,0.0007539777065839205
blurb_has_car,0.0007341382905194877
blurb_has_product,0.0006953692614162974
blurb_has_theatre,0.0006920429328368271
blurb_has_enamel_pins,0.000680807077036111
country_DE,0.000673906464410137
country_SE,0.0006681215527679908
blurb_has_website,0.0006675187065869971
name_has_brewing,0.000649467013823104
blurb_has_zine,0.0006300245171517755
blurb_has_looking,0.0005859874272211402
name_has_zine,0.0005746701394237555
blurb_has_jewelry,0.0005434087663771042
name_has_enamel_pins,0.0005418463950862405
name_has_vol,0.0004958551539174978
blurb_has_trying,0.0004813110402007596
country_AU,0.0004590243897577995
country_FR,0.00044000413574521864
blurb_has_fringe,0.0004335345582114989
name_has_volume,0.00041861771445150054
blurb_has_youtube,0.00036913336919813236
blurb_has_queer,0.0003624616930938516
name_has_make_100,0.00036001372897583007
blurb_has_webcomic,0.00033832737976405096
blurb_has_press,0.00031806287292317453
blurb_has_san,0.00030008395218957765
blurb_has_final,0.00029261861813172253
blurb_has_nyc,0.000278975070573764
name_has_calendar,0.0002780495208831886
country_NL,0.0002658399908798016
blurb_has_limited_edition,0.0002630525201269151
blurb_has_talent,0.00025410274594075375
blurb_has_celebrating,0.00025277642067310016
blurb_has_service,0.00025148184660180376
country_DK,0.0002499094151757606
name_has_edition,0.00024798770581099485
blurb_has_pet,0.00024366169068689326
name_has_tea,0.00024319841544027216
name_has_season,0.00022426765029055865
name_has_fine,0.0002215902253297586
blurb_has_hard_enamel,0.00022003913942635439
blurb_has_equipment,0.00021578655445118842
name_has_organic,0.00021009722180285735
blurb_has_aim,0.00020934197389839543
blurb_has_fiction,0.00020721986815115271
blurb_has_award,0.0002055179506280289
blurb_has_issue,0.00020410626058683373
blurb_has_sell,0.00019513050412143674
name_has_issue,0.00019398565357623673
blurb_has_volume,0.00018395097455207923
blurb_has_entertainment,0.00018369662008301473
name_has_length_album,0.00018082037293880329
name_has_fringe,0.00017599029234381604
blurb_has_idea,0.00016106752754894226
blurb_has_edinburgh,0.000157386104533923
name_has_presents,0.0001507278541562588
blurb_has_brand_new,0.00014588161813192766
blurb_has_installation,0.00014194177994118076
blurb_has_worship,0.00013603212431699817
blurb_has_downtown,0.00013094971968972928
blurb_has_arduino,0.00012432130156657465
blurb_has_news,0.0001228716219623898
blurb_has_starting,0.00012225323580599117
blurb_has_annual,0.00012170919043859939
name_has_ii,0.00011982072390633214
blurb_has_wild,0.00011765206362107048
blurb_has_radio,0.00010662219131144455
name_has_set,0.00010645258295486411
blurb_has_exhibition,0.00010461389379265447
name_has_cards,9.865275251962396e-05
blurb_has_items,9.14446522349408e-05
name_has_hard,8.892051330596277e-05
name_has_business,7.140599167665934e-05
name_has_radio,6.87000159351339e-05
name_has_exhibition,6.854554297034245e-05
blurb_has_currently,6.280702807590023e-05
blurb_has_collaboration,5.194741497871226e-05
blurb_has_presents,4.3993024862377846e-05
name_has_fundraiser,4.3068287372135143e-05
name_has_media,4.0947834075882254e-05
blurb_has_connection,4.084604214176015e-05
blurb_has_2nd,3.7902615799313963e-05
blurb_has_hello,3.763077549313024e-05
name_has_science,3.756181712226887e-05
name_has_limited,3.297887005569917e-05
blurb_has_southern,2.9448001102618837e-05
blurb_has_driven,2.9027259632630243e-05
blurb_has_selling,2.754877556108182e-05
name_has_funding,2.366660366727329e-05
blurb_has_social_media,2.2553617412915646e-05
blurb_has_raise_money,2.0706882114700256e-05
blurb_has_exploration,2.0416224204428703e-05
blurb_has_want_create,0.0
