,importance
cat_name_encoded,0.25968465
has_video,0.09373612
log_goal,0.038197063
log_goal_vs_cat_median,0.03727278
prep_days,0.034351446
goal_is_round,0.033928063
duration_days,0.031225817
name_number,0.023511937
goal_per_day,0.019942703
country_IT,0.019897737
blurb_has_want,0.01483972
name_length,0.0144850155
cat_parent_encoded,0.013366089
country_Other,0.012534893
country_HK,0.0103814285
blurb_has_youtube,0.009783342
country_SE,0.009733978
blurb_word_count,0.009707975
country_ES,0.009654936
blurb_has_edition,0.009438116
blurb_has_featuring,0.009433018
name_has_enamel,0.008721221
blurb_has_business,0.0084454985
blurb_has_queer,0.00801472
name_has_brewing,0.007958916
country_DE,0.007681407
blurb_has_trying,0.0072657433
blurb_has_enamel,0.0071827713
blurb_has_fringe,0.007042643
launched_dayofweek,0.0069794836
blurb_has_looking,0.006958454
blurb_has_enamel_pins,0.006078895
blurb_has_celebrating,0.005951593
blurb_has_jewelry,0.0058372244
blurb_has_service,0.005824764
blurb_has_award,0.005823626
country_DK,0.0057802615
blurb_has_talent,0.0057417313
blurb_has_nyc,0.005664078
blurb_has_entertainment,0.0055583613
blurb_has_downtown,0.00555165
blurb_has_brand_new,0.0054820916
name_has_season,0.0052109985
country_NL,0.00516974
name_has_zine,0.0051537724
country_GB,0.005148991
blurb_has_final,0.0050460203
blurb_has_san,0.0049415105
country_MX,0.0048507047
blurb_has_theatre,0.0048493934
name_has_volume,0.0048493273
blurb_has_fiction,0.0046948045
blurb_has_website,0.004680987
name_has_edition,0.0046787653
name_has_length_album,0.004654081
blurb_has_wild,0.0045766
blurb_has_items,0.00453617
name_has_organic,0.0045043956
blurb_has_sell,0.00436188
blurb_has_installation,0.0043567326
blurb_has_equipment,0.0043545794
blurb_has_exhibition,0.004202438
blurb_has_currently,0.0041847145
blurb_has_issue,0.0041508987
blurb_has_volume,0.0040903385
blurb_has_zine,0.0040440615
blurb_has_annual,0.0038897474
country_US,0.0038712742
name_has_ii,0.0037702844
blurb_has_social_media,0.0037347574
name_has_presents,0.0035699464
blurb_has_product,0.0035480913
launched_month,0.00205255
is_usd,0.0018370694
blurb_has_com,0.0018097648
blurb_has_start,0.0017884307
blurb_length,0.001703756
blurb_has_pi,0.0015369257
name_has_enamel_pins,0.0005263631
blurb_has_idea,0.00041715105
name_has_calendar,0.0
name_has_radio,0.0
name_has_vol,0.0
name_has_tea,0.0
name_has_cards,0.0
name_has_set,0.0
name_has_science,0.0
name_has_com,0.0
name_has_exhibition,0.0
name_has_enamel_pin,0.0
name_has_issue,0.0
name_has_fine,0.0
name_has_fringe,0.0
name_has_funding,0.0
name_has_fundraiser,0.0
name_has_media,0.0
name_has_hard,0.0
name_has_make_100,0.0
name_has_limited,0.0
blurb_has_driven,0.0
name_has_business,0.0
blurb_has_press,0.0
blurb_has_able,0.0
blurb_has_2nd,0.0
blurb_has_exploration,0.0
blurb_has_connection,0.0
blurb_has_hard_enamel,0.0
blurb_has_hello,0.0
blurb_has_limited_edition,0.0
country_FR,0.0
blurb_has_news,0.0
blurb_has_pet,0.0
blurb_has_pin,0.0
blurb_has_presents,0.0
blurb_has_collaboration,0.0
blurb_has_worship,0.0
blurb_has_radio,0.0
blurb_has_raise_money,0.0
blurb_has_selling,0.0
blurb_has_aim,0.0
blurb_has_southern,0.0
blurb_has_starting,0.0
blurb_has_car,0.0
blurb_has_edinburgh,0.0
country_CA,0.0
country_AU,0.0
blurb_has_want_create,0.0
blurb_has_webcomic,0.0
blurb_has_arduino,0.0
